nom,dci1,dosage,unite_dosage,forme,presentation,ppv,ph,prix_br,princeps_generique,taux_remboursement,nom_ar,search_name
epiduo gel,ADAPALENE / PEROXYDE DE BENZOYLE,1/25,MG / MG,GEL,1 TUBE 30 G,146.6,97.0,146.6,P,0%,يبيدوو جيل,epiduo gel
aranesp 30 µg,DARBEPOETIN ALFA,30,µG,SOLUTION INJECTABLE,1 BOITE 4 SERINGUE PREREMPLIE,0.0,1984.3,1984.3,P,0%,ارانيسب 30 µج,aranesp 30 ug
flumax 4000 ui anti-xa/0.4ml,ENOXAPARINE,4000,UI ANTI-XA,SOLUTION INJECTABLE,1 BOITE 2 SERINGUE PREREMPLIE,110.2,68.9,110.2,G,70%,فلوماكس 4000 وي انتي-كسا/0.4مل,flumax 4000 ui anti xa 0 4ml
lidocaine 5% laprophan naphazoline,LIDOCAINE / NAPHAZOLINE,5 / 0.02,% / %,SOLUTION POUR APPLICATION LOCALE,1 FLACON 24 ML,26.5,17.5,26.5,G,0%,ليدوكايني 5% لابروبهان نابهازوليني,lidocaine 5 laprophan naphazoline
fero-grad folic,SULFATE FERREUX / ACIDE FOLIQUE,105 / 350,MG / MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME,55.4,0.0,55.4,P,70%,فيرو-جراد فوليك,fero grad folic
glucose 10% laprophan,GLUCOSE,10,%,SOLUTION POUR PERFUSION,12 FLACON 500 ML,210.1,139.0,210.1,G,0%,جلوكوسي 10% لابروبهان,glucose 10 laprophan
perfalgan 10 mg/ml nourrissons et enfant,PARACETAMOL,500,MG,SOLUTION POUR PERFUSION,12 FLACON 50 ML,278.0,173.5,278.0,P,70%,بيرفالجان 10 مج/مل نوورريسسونس يت ينفانت,perfalgan 10 mg ml nourrissons et enfant
betastene 0.05 %,BETAMETHASONE,0.5,MG/ML,SOLUTION BUVABLE,1 FLACON 30 ML,30.0,18.7,30.0,G,70%,بيتاستيني 0.05 %,betastene 0 05
havrix,VACCIN ANTI-HEPATITE A,720,UI,SUSPENSION INJECTABLE,1 BOITE 1 SERINGUE,200.0,132.3,200.0,P,0%,هافريكس,havrix
nitroderm tts 10,TRINITRINE,10,MG,DISPOSITIF TRANSDERMIQUE,1 BOITE 10 PATCH,99.8,62.4,99.8,P,70%,نيتروديرم تتس 10,nitroderm tts 10
soufrane 2 %,THIOPHENE CARBOXYLATE DE SODIUM,2,%,SOLUTION POUR PULVERISATION NASALE,1 FLACON 20 ML,17.0,0.0,17.0,P,0%,سووفراني 2 %,soufrane 2
"saizen clickeazy,somatropine,8,""mg/1,37 ml"",poudre pour solution injectable,1 boite 1 flacon de poudre +1 cartouche de solvant,2100.0,1389.1,2100.0,p,0%,سايزين كليككيازي,saizen clickeazy,,,,,,,,,,,,"
fluconazole gt,FLUCONAZOLE,2,MG,SOLUTION POUR PERFUSION,1 FLACON 50 ML,143.0,89.1,143.0,G,70%,فلوكونازولي جت,fluconazole gt
prastenor 40mg,PRAVASTATINE,40,MG,COMPRIME SECABLE,1 BOITE 28 COMPRIME SECABLE,274.8,181.8,274.8,G,0%,براستينور 40مج,prastenor 40mg
vincristine cooper,VINCRISTINE,1,MG,SOLUTION INJECTABLE,1 BOITE 5 FLACON,306.0,204.0,306.0,G,70%,فينكريستيني كووبير,vincristine cooper
anti-hemorroïdaire pommade,HYDROCORTISONE / CINCHOCAINE CHLORHYDRATE,500 / 500,MG / MG,POMMADE RECTALE,1 TUBE 10 G,19.6,13.0,19.6,P,0%,انتي-هيمورروÏدايري بوممادي,anti hemorroidaire pommade
cyclo 3,EXTRAIT SEC DE RUSCUS ACULEATUS / EXTRAIT FLUIDE DE MELILOT,640 / 800,MG / MG,CREME,1 TUBE 40 G,22.9,15.1,22.9,P,0%,كيكلو 3,cyclo 3
gran 34 mui,LENOGRASTIM,33.6,MUI,POUDRE POUR SOLUTION INJECTABLE,1 FLACON 1 ML,846.0,560.0,846.0,G,70%,جران 34 موي,gran 34 mui
videx,DIDANOSINE,100,MG,COMPRIME A CROQUER OU DISPERSIBLE,1 FLACON 60 COMPRIME,954.0,673.0,204.0,P,70%,فيديكس,videx
maltofer,FER,1,%,SOLUTION BUVABLE,1 FLACON 150 ML,35.7,23.6,35.7,P,70%,مالتوفير,maltofer
zinacef,CEFUROXIME,750,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,73.7,48.7,34.2,P,70%,زيناكيف,zinacef
miflasone,BECLOMETASONE,200,µG,GELULE INHALEE,1 BOITE 60 GELULE,71.4,44.6,71.4,P,70%,ميفلاسوني,miflasone
supposedal paracetamol adulte,PARACETAMOL / NIAOULI / GRINDELIA / GELSEMIUM,500 / 40 / 40 / 20,MG / MG / MG / MG,SUPPOSITOIRE,1 BOITE 12 SUPPOSITOIRE,24.0,15.9,24.0,G,0%,سوببوسيدال باراكيتامول ادولتي,supposedal paracetamol adulte
acno 30 mg,ISOTRETINOINE,31.50,MG,CAPSULE MOLLE,1 BOITE 30 CAPSULE MOLLE,375.0,248.0,375.0,G,0%,اكنو 30 مج,acno 30 mg
aranesp 80 µg,DARBEPOETIN ALFA,80,µG,SOLUTION INJECTABLE,1 BOITE 4 SERINGUE PREREMPLIE,0.0,5291.4,5291.4,P,0%,ارانيسب 80 µج,aranesp 80 ug
lacryvisc,CARBOMERE 974 P,0.3,%,GEL OPHTALMIQUE,1 TUBE 15 G,75.4,49.85,75.4,P,0%,لاكريفيسك,lacryvisc
rebetol,RIBAVIRINE,200,MG,GELULE,1 BOITE 168 GELULE,3727.0,3425.0,3727.0,P,70%,ريبيتول,rebetol
vomistop 10 mg,METOCLOPRAMIDE,10,MG,SUPPOSITOIRE,1 BOITE 10 SUPPOSITOIRE,9.0,5.9,9.0,G,0%,فوميستوب 10 مج,vomistop 10 mg
xenical,ORLISTAT,120,MG,GELULE,1 BOITE 42 GELULE,549.0,363.16,549.0,P,0%,كسينيكال,xenical
viraferonpeg 120 µg,INTERFERON ALFA-2B PEGYLE,120,µG,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,1 BOITE 1 STYLO PRE-REMPLI,2497.0,2159.0,2497.0,P,70%,فيرافيرونبيج 120 µج,viraferonpeg 120 ug
bipreterax arginine 10 mg/2.5 mg,PERINDOPRIL / INDAPAMIDE,6.79/2.50,MG / MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,243.0,160.7,243.0,P,0%,بيبريتيراكس ارجينيني 10 مج/2.5 مج,bipreterax arginine 10 mg 2 5 mg
kefotax im,CEFOTAXIME,1,G,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,69.0,43.0,69.0,G,70%,كيفوتاكس يم,kefotax im
stediril,NORGESTREL / ETHINYLESTRADIOL,0.5 / 0.05,MG / MG,COMPRIME ENROBE,1 BOITE 21 COMPRIME,11.65,7.7,11.65,P,0%,ستيديريل,stediril
gentagam 10,GENTAMICINE,10,MG,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE,6.5,4.0,6.5,G,70%,جينتاجام 10,gentagam 10
calpol six plus,PARACETAMOL,250,MG,SUSPENSION BUVABLE,1 FLACON 100 ML,23.8,14.8,23.8,P,70%,كالبول سيكس بلوس,calpol six plus
buccosept,CHLORHEXIDINE,0.12,%,SOLUTION POUR BAIN DE BOUCHE,1 FLACON 200 ML,22.95,15.2,22.95,G,0%,بوككوسيبت,buccosept
midazolam aguettant 5 mg/ml,MIDAZOLAM,5,MG,SOLUTION INJECTABLE,1 BOITE 10 AMPOULE,0.0,474.0,474.0,G,0%,ميدازولام اجويتتانت 5 مج/مل,midazolam aguettant 5 mg ml
"mencevax acwy,""vaccin antimeningococcique a, c,w135 et y"",,,preparation injectable,1 boite 1 flacon,176.4,109.9,176.4,p,70%,مينكيفاكس اكوي,mencevax acwy,,,,,,,,,,,,"
klarcine 250 mg,CLARITHROMYCINE,250,MG,COMPRIME ENROBE,1 BOITE 12 COMPRIME ENROBE,102.0,63.5,102.0,G,70%,كلاركيني 250 مج,klarcine 250 mg
carteol,CARTEOLOL,2,%,COLLYRE,1 FLACON 3 ML,55.5,34.6,55.5,P,70%,كارتيول,carteol
cholestin 40 mg,SIMVASTATINE,40,MG,COMPRIME SECABLE,1 BOITE 28 COMPRIME,232.0,145.1,232.0,G,70%,كهوليستين 40 مج,cholestin 40 mg
algik,PARACETAMOL / CAFEINE,500 / 50,MG / MG,POUDRE POUR SOLUTION BUVABLE,1 BOITE 20 SACHET,21.85,14.5,21.85,G,0%,الجيك,algik
ciprofloxacine gt,CIPROFLOXACINE,200,MG,SOLUTION POUR PERFUSION,1 FLACON 100 ML,143.0,89.1,143.0,G,70%,كيبروفلوكساكيني جت,ciprofloxacine gt
structum,CHONDROITINE,500,MG,GELULE,1 BOITE 60 GELULE,230.0,152.1,230.0,P,0%,ستروكتوم,structum
serc,BETAHISTINE,8,MG,COMPRIME,1 BOITE 50 COMPRIME,69.2,45.8,69.2,P,0%,سيرك,serc
dermoval,CLOBETASOL,0.05,%,GEL,1 FLACON 20 ML,40.0,0.0,40.0,P,0%,ديرموفال,dermoval
isotrex,ISOTRETINOINE,0.05,%,GEL,1 TUBE 30 G,84.3,55.5,84.3,P,0%,يسوتريكس,isotrex
lioresal,BACLOFENE,10,MG,COMPRIME SECABLE,1 BOITE 50 COMPRIME,105.8,65.9,105.8,P,70%,ليوريسال,lioresal
modine,NIMODIPINE,30,MG,COMPRIME ENROBE,1 BOITE 60 COMPRIME PELLICULE,260.2,162.6,260.2,G,70%,موديني,modine
humalog kwik pen,INSULINE HUMAINE,100,UI,SOLUTION INJECTABLE,1 STYLO PRE-REMPLI 3 ML,111.0,69.4,111.0,P,70%,هومالوج كويك بين,humalog kwik pen
atrican,TENONITROZOLE,250,MG,CAPSULE MOLLE GASTRO-RESISTANTE,1 BOITE 8 CAPSULE GASTRO-RESISTANT,35.5,22.1,35.5,P,70%,اتريكان,atrican
mazax 500 mg,AZITHROMYCINE,500,MG,COMPRIME PELLICULE,1 BOITE 3 COMPRIME PELLICULE,60.0,39.7,60.0,G,0%,مازاكس 500 مج,mazax 500 mg
cliacil,PHENOXYMETHYLPENICILLINE,1.2,MUI,COMPRIME SECABLE,1 BOITE 20 COMPRIME,68.5,45.3,68.5,P,70%,كلياكيل,cliacil
fluoxet,FLUOXETINE,20,MG,GELULE,1 BOITE 30 GELULE,180.0,112.1,180.0,G,70%,فلووكسيت,fluoxet
adriblastine rd,DOXORUBICINE,50,MG,LYOPHILISAT POUR PERFUSION,1 BOITE 1 FLACON,454.0,302.0,412.0,P,70%,ادريبلاستيني رد,adriblastine rd
mycosil,AMPHOLYTE G,0.3,%,SOLUTION POUR APPLICATION LOCALE,1 FLACON 120 ML,36.65,24.2,36.65,G,0%,ميكوسيل,mycosil
tritazide 10mg / 12.5mg,RAMIPRIL / HYDROCHLOROTHIAZIDE,10 / 12.5,MG / MG,COMPRIME SECABLE,1 BOITE 14 COMPRIME SECABLE,131.0,86.7,131.0,P,0%,تريتازيدي 10مج / 12.5مج,tritazide 10mg 12 5mg
voltarene 100 mg,DICLOFENAC,100,MG,SUPPOSITOIRE,1 BOITE 5 SUPPOSITOIRE,27.0,16.8,27.0,P,70%,فولتاريني 100 مج,voltarene 100 mg
dobutamine aguettant 250mg/20ml,DOBUTAMINE,250,MG,SOLUTION A DILUER POUR PERFUSION,10 AMPOULE 20 ML,802.0,533.0,802.0,G,70%,دوبوتاميني اجويتتانت 250مج/20مل,dobutamine aguettant 250mg 20ml
viracept,NELFINAVIR,50,MG,POUDRE ORALE,1 FLACON 144 G,0.0,336.0,336.0,P,70%,فيراكيبت,viracept
diprolene 0.05%,BETAMETHASONE,0.05,%,CREME,1 TUBE 15 G,23.9,14.9,16.8,P,70%,ديبروليني 0.05%,diprolene 0 05
codetux ad,CODEINE,140,%,SIROP,1 FLACON 180 ML,20.55,13.6,20.55,G,0%,كوديتوكس اد,codetux ad
stievamycine,TRETINOINE / ERYTHROMYCINE,0.03 / 4,% / %,GEL,1 TUBE 25 G,99.0,65.2,99.0,P,0%,ستييفاميكيني,stievamycine
phosphalugel,PHOSPHATE D'ALUMINIUM,12.38,G,GEL ORAL,1 BOITE 20 SACHET,34.55,22.8,34.55,P,0%,بهوسبهالوجيل,phosphalugel
brumixol,CICLOPIROXOLAMINE,1,%,CREME,1 TUBE 30 G,37.8,23.5,37.8,G,70%,بروميكسول,brumixol
cosopt,DORZOLAMIDE / TIMOLOL,20 / 5,MG / MG,COLLYRE,1 FLACON 5 ML,164.2,102.3,110.7,P,70%,كوسوبت,cosopt
diergo spray,DIHYDROERGOTAMINE,4,MG,SOLUTION POUR PULVERISATION NASALE,1 FLACON 3.5 ML,81.8,0.0,81.8,P,0%,دييرجو سبراي,diergo spray
purinethol,MERCAPTOPURINE,50,MG,COMPRIME SECABLE,1 BOITE 25 COMPRIME,47.5,29.7,47.5,P,70%,بورينيتهول,purinethol
acetate slf117,CONCENTRE POUR HEMODIALYSE,,,SOLUTE CONCENTRE,1 BIDON 10 L,172.0,108.0,161.4,P,70%,اكيتاتي سلف117,acetate slf117
flodil,FELODIPINE,5,MG,COMPRIME LP,1 BOITE 28 COMPRIME,117.8,73.6,117.8,P,70%,فلوديل,flodil
hepsera,ADEFOVIR,10,MG,COMPRIME,1 FLACON 30 COMPRIME,1921.0,1668.0,1921.0,P,70%,هيبسيرا,hepsera
effortil,ETILEFRINE,0.75,G,SOLUTION POUR GOUTTES BUVABLES,1 FLACON 30 ML,30.25,20.0,30.25,P,0%,يففورتيل,effortil
altracart ii 1000g,CONCENTRE POUR HEMODIALYSE,1000,G,POUDRE POUR CONCENTRE POUR HEMODIALYSE,1 CARTOUCHE 1000 G,137.7,71.4,137.7,G,70%,التراكارت يي 1000ج,altracart ii 1000g
inegy 10mg/20mg,SIMVASTATINE / EZETIMIBE,20 / 10,MG / MG,COMPRIME,1 BOITE 28 COMPRIME,337.7,223.4,337.7,P,0%,ينيجي 10مج/20مج,inegy 10mg 20mg
tarceva 100 mg,ERLOTINIB,100,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,0.0,16560.4,16560.4,P,0%,تاركيفا 100 مج,tarceva 100 mg
piascledine,INSAPONIFICABLE D'AVOCAT ET DE SOJA,300,MG,GELULE,1 BOITE 15 GELULE,96.4,63.75,96.4,P,0%,بياسكليديني,piascledine
milligynon,NORETHISTERONE,0.6,G,COMPRIME,1 BOITE 84 COMPRIME,63.9,0.0,63.9,P,0%,ميلليجينون,milligynon
diapharm,DIAZEPAM,10,MG,SOLUTION INJECTABLE,1 BOITE 6 AMPOULE INJECTABLE,24.35,0.0,24.35,G,70%,ديابهارم,diapharm
acuilix,QUINAPRIL / HYDROCHLOROTHIAZIDE,20 / 12.5,MG / MG,COMPRIME PELLICULE SECABLE,1 BOITE 28 COMPRIME,130.6,81.6,130.6,P,70%,اكويليكس,acuilix
enbrel 25mg,ETANERCEPT,25,MG,SOLUTION INJECTABLE,1 COFFRET 4 SERINGUE PREREMPLIE,0.0,5970.2,5970.2,P,0%,ينبريل 25مج,enbrel 25mg
chloramphenicol laprophan,CHLORAMPHENICOL,250,MG,COMPRIME DRAGEIFIE,1 BOITE 16 COMPRIME,14.0,9.3,14.0,G,0%,كهلورامبهينيكول لابروبهان,chloramphenicol laprophan
fazol,ISOCONAZOLE,2,%,CREME,1 TUBE 20 G,24.4,15.2,24.4,P,70%,فازول,fazol
lidocaine 2% visqueuse laprophan,LIDOCAINE,2,%,GEL BUCCAL,1 TUBE 100 G,33.6,22.2,33.6,G,0%,ليدوكايني 2% فيسقويوسي لابروبهان,lidocaine 2 visqueuse laprophan
azole 4%,ALBENDAZOLE,4,%,SUSPENSION BUVABLE,1 FLACON 10 ML,23.5,14.6,23.5,G,70%,ازولي 4%,azole 4
pilo 2,PILOCARPINE,2,%,COLLYRE,1 FLACON 10 ML,29.9,18.6,29.9,P,70%,بيلو 2,pilo 2
algicon,ALGINATE DE MAGNESIUM / HYDROXYDE D'ALUMINIUM,5 / 2.8,G / G,SUSPENSION BUVABLE,1 FLACON 250 ML,37.4,24.7,37.4,P,0%,الجيكون,algicon
uft,TEGAFUR / URACILE,100 / 224,MG / MG,GELULE,1 BOITE 28 GELULE,2442.0,2102.0,2442.0,P,70%,وفت,uft
ponstyl,ACIDE MEFENAMIQUE,500,MG,COMPRIME,1 BOITE 20 COMPRIME,28.8,18.0,28.8,P,70%,بونستيل,ponstyl
febrex enfant,PHENIRAMINE MALEATE / PARACETAMOL / ACIDE ASCORBIQUE,0.010 / 0.280 / 0.100,G / G / G,GRANULE POUR SOLUTION BUVABLE,1 BOITE 8 SACHET,19.0,12.6,19.0,G,0%,فيبريكس ينفانت,febrex enfant
alzole,OMEPRAZOLE,20,MG,GELULE,1 BOITE 14 GELULE,55.0,34.3,55.0,G,70%,الزولي,alzole
elebloc,CARTEOLOL,1,%,COLLYRE,1 FLACON 5 ML,37.9,23.6,37.9,G,70%,يليبلوك,elebloc
"atropine promopharm 0,50 mg,atropine,0.5,mg,solution injectable,1 boite 10 ampoule injectable,18.85,12.5,18.85,g,70%,""اتروبيني بروموبهارم 0,50 مج"",atropine promopharm 0 50 mg,,,,,,,,,,,,"
neutral,HYDROXYDE D'ALUMINIUM / HYDROXYDE DE MAGNESIUM,400 / 400,MG / MG,COMPRIME A CROQUER,1 BOITE 40 COMPRIME,24.4,16.1,24.4,G,0%,نيوترال,neutral
lexomil,BROMAZEPAM,6,MG,COMPRIME QUADRISECABLE,1 BOITE 30 COMPRIME,42.8,26.7,36.7,P,70%,ليكسوميل,lexomil
pharmacristine 1 mg/ml,VINCRISTINE,1,MG,SOLUTION INJECTABLE,1 BOITE 1 FLACON,55.9,34.9,55.9,G,70%,بهارماكريستيني 1 مج/مل,pharmacristine 1 mg ml
homeoplasmine,SOUCHE HOMEOPATHIQUE,,,POMMADE,1 TUBE 40 G,28.6,18.8,28.6,P,0%,هوميوبلاسميني,homeoplasmine
hexapneumine,BICLOTYMOL,,,COMPRIME,1 BOITE 20 COMPRIME,30.2,20.0,30.2,G,0%,هيكسابنيوميني,hexapneumine
flogencyl,B-ESCINE PURE ANHDYRE,1.5,G,GEL GINGIVAL,1 TUBE 20 G,43.2,0.0,43.2,G,0%,فلوجينكيل,flogencyl
micardis plus,TELMISARTAN / HYDROCHLOROTHIAZIDE,80 / 12.5,MG / MG,COMPRIME,1 BOITE 28 COMPRIME,300.0,198.4,300.0,P,0%,ميكارديس بلوس,micardis plus
remeron 30,MIRTAZAPINE,30,MG,COMPRIME ENROBE SECABLE,1 BOITE 14 COMPRIME,170.1,106.0,170.1,P,70%,ريميرون 30,remeron 30
curtec,CETIRIZINE,1,MG,SOLUTION BUVABLE,1 FLACON 60 ML,20.0,12.5,20.0,G,70%,كورتيك,curtec
enalapril /hctz gt,ENALAPRIL / HYDROCHLOROTHIAZIDE,20 / 12.5,MG / MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME SECABLE,71.5,44.7,71.5,G,70%,ينالابريل /هكتز جت,enalapril hctz gt
nivaquine,CHLOROQUINE,100,MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME SECABLE,12.0,7.5,12.0,P,70%,نيفاقويني,nivaquine
diurimat,INDAPAMIDE,2.5,MG,COMPRIME,1 BOITE 30 COMPRIME,52.0,32.5,52.0,G,70%,ديوريمات,diurimat
actonel,RISEDRONATE,5,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME,296.0,184.6,296.0,P,70%,اكتونيل,actonel
fumafer,FER,66,MG,COMPRIME PELLICULE,1 BOITE 100 COMPRIME,25.1,15.6,25.1,P,70%,فومافير,fumafer
konakion mm,PHYTOMENADIONE,10,MG,SOLUTION BUVABLE ET INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE ET BUVABLE,44.7,27.8,44.7,P,70%,كوناكيون مم,konakion mm
tamoxifene gt 20 mg,TAMOXIFENE,20,MG,COMPRIME,1 BOITE 30 COMPRIME,124.3,77.7,124.3,G,70%,تاموكسيفيني جت 20 مج,tamoxifene gt 20 mg
xanax,ALPRAZOLAM,0.5,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,40.3,25.1,40.3,P,70%,كساناكس,xanax
"un-alfa 0,25 µg,alfacalcidol,0.25,µg,capsule,1 boite 30 capsule,74.6,46.5,74.6,p,70%,""ون-الفا 0,25 µج"",un alfa 0 25 ug,,,,,,,,,,,,"
medizapin 2.5mg,OLANZAPINE,2.5,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,195.0,128.8,195.0,G,0%,ميديزابين 2.5مج,medizapin 2 5mg
rhinallergy,SOUCHE HOMEOPATHIQUE,,,COMPRIME A SUCER,1 BOITE 60 COMPRIME,43.0,28.2,43.0,P,0%,رهينالليرجي,rhinallergy
homeopathiques unitaires,SOUCHE HOMEOPATHIQUE,,,DOSE GLOBULE,1 TUBE 1 G,13.9,0.0,13.9,P,0%,هوميوباتهيقويس ونيتايريس,homeopathiques unitaires
strattera 60 mg,ATOMOXETINE,60,MG,GELULE,1 BOITE 7 GELULE,266.5,176.3,266.5,P,0%,ستراتتيرا 60 مج,strattera 60 mg
polery enf.,ERYSIMUM / PHOLCODINE,29.6 / 1,MG / MG,SIROP,1 FLACON 125 ML,16.4,10.8,16.4,P,0%,بوليري ينف.,polery enf
lorasec,LOPERAMIDE,2,MG,GELULE,1 BOITE 20 GELULE,21.4,0.0,21.4,G,0%,لوراسيك,lorasec
actapulgite nourrissons,ATTAPULGITE DE MORMOIRON ACTIVEE,1,G,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 20 SACHET,21.7,14.3,21.7,P,0%,اكتابولجيتي نوورريسسونس,actapulgite nourrissons
etoposide mylan,ETOPOSIDE,100,MG,SOLUTION A DILUER POUR PERFUSION,10 FLACON 5 ML,1013.0,734.0,1013.0,G,70%,يتوبوسيدي ميلان,etoposide mylan
clenil forte,BECLOMETASONE,250,µG,SOLUTION POUR INHALATION BUCCALE,1 FLACON 200 DOSE,91.7,57.3,91.7,G,70%,كلينيل فورتي,clenil forte
hemopur a1,CONCENTRE POUR HEMODIALYSE,,,SOLUTION POUR HEMODIALYSE,1 BIDON 5 L,71.7,44.8,71.7,G,70%,هيموبور ا1,hemopur a1
atepadene,ADENOSINE TRIPHOSPHATE,30,MG,GELULE,1 BOITE 30 GELULE,71.4,47.2,71.4,P,0%,اتيباديني,atepadene
convertal,CAPTOPRIL,50,MG,COMPRIME,1 BOITE 30 COMPRIME,164.2,102.6,164.2,G,70%,كونفيرتال,convertal
kefotax,CEFOTAXIME,1,G,PREPARATION INJECTABLE,1 BOITE 1 FLACON,87.6,0.0,87.6,G,70%,كيفوتاكس,kefotax
siccaprotect,DEXPANTHENOL / ALCOOL POLYVINYLIQUE,30 / 14,MG / MG,COLLYRE,1 FLACON 10 ML,22.0,14.5,22.0,G,0%,سيككابروتيكت,siccaprotect
psytral,SERTRALINE,50,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,126.8,79.0,126.8,G,70%,بسيترال,psytral
norcuron,VECURONIUM,4,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 10 AMPOULE INJECTABLE,428.4,283.4,428.4,P,0%,نوركورون,norcuron
feldene fast,PIROXICAM,20,MG,COMPRIME SUBLINGUAL,1 BOITE 10 COMPRIME,49.6,30.9,41.7,P,70%,فيلديني فاست,feldene fast
histazine,PROMETHAZINE,50,MG,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE,9.7,6.0,9.7,G,70%,هيستازيني,histazine
tofranil,IMIPRAMINE,25,MG,COMPRIME ENROBE,1 BOITE 100 COMPRIME ENROBE,57.1,35.6,57.1,P,70%,توفرانيل,tofranil
estraderm,ESTRADIOL,0.75,MG,DISPOSITIF TRANSDERMIQUE,1 BOITE 1 AMPOULE,69.4,0.0,69.4,P,0%,يستراديرم,estraderm
endoxan 500 mg,CYCLOPHOSPHAMIDE,500,MG,POUDRE POUR SOLUTION INJECTABLE IV,1 BOITE 1 FLACON,56.1,35.1,34.2,P,70%,يندوكسان 500 مج,endoxan 500 mg
amlor plus 10mg/10mg,AMLODIPINE / ATORVASTATINE,10 / 10,MG / MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,246.0,154.1,246.0,P,70%,املور بلوس 10مج/10مج,amlor plus 10mg 10mg
pulmofluide ad,BENZOATE DE SODIUM / TERPINE,2000 / 250,MG / MG,SOLUTION BUVABLE,1 FLACON 150 ML,18.0,11.9,18.0,P,0%,بولموفلويدي اد,pulmofluide ad
fluskin,FLUOCINONIDE,2.7,%,GEL,1 TUBE 30 G,21.0,0.0,21.0,P,0%,فلوسكين,fluskin
rimevax,VACCIN ANTIROUGEOLEUX,,,PREPARATION INJECTABLE,1 BOITE 1 FLACON,72.15,0.0,72.15,P,70%,ريميفاكس,rimevax
hostacycline,TETRACYCLINE,500,MG,COMPRIME,1 BOITE 20 COMPRIME,57.5,35.8,40.3,P,70%,هوستاكيكليني,hostacycline
erlus 2.5mg/5ml,DESLORATADINE,2.5,MG,SIROP,1 FLACON 60 ML,25.0,16.5,25.0,G,0%,يرلوس 2.5مج/5مل,erlus 2 5mg 5ml
collu-hextril,HEXETIDINE,0.2,G,COLLUTOIRE,1 FLACON 40 ML,22.85,15.1,22.85,P,0%,كوللو-هيكستريل,collu hextril
hydralin,PERBORATE DE SODIUM / BORAX,432 / 882,MG / MG,POUDRE POUR SOLUTION GYNECOLOGIQUE,1 BOITE 30 SACHET,40.4,26.7,40.4,P,0%,هيدرالين,hydralin
resincalcio,CALCIUM POLYSTYRENE SULFONATE,99.75,G/100G,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 1 FLACON,358.0,236.8,358.0,G,0%,ريسينكالكيو,resincalcio
tau-kit test d haleine a l uree -13c pou,UREE,100,MG,COMPRIME,1 BOITE 1 COMPRIME,517.0,342.0,517.0,P,0%,تاو-كيت تيست د هالييني ا ل وريي -13ك بوو,tau kit test d haleine a l uree 13c pou
forene (h),ISOFLURANE,100,ML,SOLUTION POUR INHALATION,1 FLACON 250 ML,0.0,538.0,538.0,P,0%,فوريني (ه),forene h
bleomycine bellon,BLEOMYCINE,15,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,345.0,229.0,215.0,P,70%,بليوميكيني بيللون,bleomycine bellon
algofene 20 mg/ml,IBUPROFENE,100,MG,SUSPENSION BUVABLE,1 FLACON 150 ML,17.0,10.6,17.0,G,70%,الجوفيني 20 مج/مل,algofene 20 mg ml
simvastatine win 40 mg,SIMVASTATINE,40,MG,COMPRIME PELLICULE SECABLE,1 BOITE 28 COMPRIME PELLICULE SECABLE,72.5,47.9,72.5,G,70%,سيمفاستاتيني وين 40 مج,simvastatine win 40 mg
heparine sodique leurquin,HEPARINE SODIQUE,25000,UI,SOLUTION INJECTABLE,1 BOITE 10 AMPOULE INJECTABLE,239.0,149.6,239.0,G,70%,هيباريني سوديقوي ليورقوين,heparine sodique leurquin
neoclav 100 mg/12.5 mg/ ml nourrisson,AMOXICILLINE / ACIDE CLAVULANIQUE,100 / 12.5,MG / MG,POUDRE POUR SUSPENSION BUVABLE,2 FLACON 30 ML,70.0,46.3,70.0,G,0%,نيوكلاف 100 مج/12.5 مج/ مل نوورريسسون,neoclav 100 mg 12 5 mg ml nourrisson
icin 0.3 %,CIPROFLOXACINE,0.3,%,COLLYRE,1 FLACON 5 ML,27.5,17.1,27.5,G,70%,يكين 0.3 %,icin 0 3
romac,ROXITHROMYCINE,300,MG,COMPRIME SECABLE,1 BOITE 7 COMPRIME,83.7,52.1,83.7,G,70%,روماك,romac
